3298.680	464.1932	5.9715
3301.060	460.1975	7.4108
3303.440	453.1552	6.4737
3305.820	451.0777	5.3472
3308.200	452.8800	5.2823
3310.580	453.4097	6.1475
3312.960	455.5422	5.5924
3315.340	452.6835	5.7406
3317.720	448.1044	6.0597
3320.100	443.2847	6.8720
3322.480	441.6096	5.6141
3324.860	441.2943	5.0470
3327.240	445.1806	5.1092
3329.620	444.7236	4.9814
3332.000	443.4446	5.8413
3334.380	442.3755	5.2169
3336.760	443.8797	4.8155
3339.140	444.6121	4.7422
3341.520	440.6909	4.9348
3343.900	440.0183	4.6748
3346.280	441.7410	4.2761
3348.660	436.3839	4.8879
3351.040	434.3478	4.4866
3353.420	446.7158	5.5836
3355.800	452.2295	6.8437
3358.180	430.9501	5.9758
3360.560	406.8289	6.3352
3362.940	409.3393	4.7017
3365.320	427.9938	5.5258
3367.700	433.7018	4.7656
3370.080	424.0973	5.2417
3372.460	415.8871	5.0786
3374.840	426.1975	5.0081
3377.220	438.8606	6.4414
3379.600	437.0500	3.6470
3381.980	435.9895	3.7595
3384.360	438.0302	4.5187
3386.740	442.1253	5.4825
3389.120	446.3308	4.7684
3391.500	447.8287	4.3676
3393.880	440.6543	5.3994
3396.260	447.8820	4.5652
3398.640	456.2704	5.9226
3401.020	458.2268	6.2129
3403.400	450.9200	4.8660
3405.780	444.5656	4.3188
3408.160	441.7957	3.7037
3410.540	443.7433	3.8904
3412.920	442.2239	4.6307
3415.300	444.3031	4.5244
3417.680	448.4778	5.2743
3420.060	452.8585	5.9703
3422.440	454.2456	4.9916
3424.820	451.5980	3.5397
3427.200	456.0254	3.7414
3429.580	460.9164	5.2317
3431.960	463.5426	5.9934
3434.340	462.0560	5.7902
3436.720	457.2799	6.0258
3439.100	451.4722	5.0919
3441.480	444.2984	5.4347
3443.860	438.4912	4.8752
3446.240	443.7189	4.1920
3448.620	453.1707	5.6608
3451.000	457.1312	5.7128
3453.380	455.1921	5.3121
3455.760	456.4250	4.9967
3458.140	460.2328	4.1713
3460.520	453.7586	4.1177
3462.900	455.8865	4.3834
3465.280	459.6347	6.0002
3467.660	462.6843	5.6380
3470.040	465.8289	6.2445
3472.420	463.7219	4.9517
3474.800	456.2347	4.6554
3477.180	452.7320	5.5478
3479.560	459.9331	5.9037
3481.940	465.6427	5.7465
3484.320	465.1731	5.0408
3486.700	466.8787	5.1366
3489.080	464.8017	4.7355
3491.460	458.5173	4.9641
3493.840	455.1220	4.1348
3496.220	457.6286	4.5520
3498.600	457.1075	4.1448
3500.980	461.3426	5.5328
3503.360	462.5585	6.0686
3505.740	463.3120	5.3569
3508.120	464.0399	4.4833
3510.500	461.8553	4.2632
3512.880	455.8632	4.3508
3515.260	454.5155	4.1835
3517.640	461.4035	3.4335
3520.020	461.2304	3.9027
3522.400	458.8763	4.2285
3524.780	454.4739	6.0754
3527.160	449.5834	3.8588
3529.540	452.2114	3.6915
3531.920	462.1312	4.3152
3534.300	469.5670	4.1475
3536.680	470.7949	3.9570
3539.060	472.0566	4.1711
3541.440	473.8498	4.7202
3543.820	478.2449	5.0534
3546.200	479.2650	5.5421
3548.580	478.4526	4.9354
3550.960	479.3511	5.1426
3553.340	476.6192	4.9942
